Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Luka Modric,"Real Madrid,",", M(C)",11(2),934,3,2,3,-,1.4,90.7,0.5,-,6.95
Edin Dzeko,"Inter,",", FW",10(5),937,6,2,1,-,2.4,72.9,1.6,3,6.94
Sofiane Boufal,"Angers,",", AM(CLR),FW",8(3),720,3,3,1,1,2,80.2,0.1,2,6.94
Stefano Sensi,"Monza,",", AM(C)",12(1),942,2,-,4,-,1,88.9,0.5,1,6.94
Federico Fazio,"Salernitana,",", D(C)",9,810,1,-,2,1,1.1,78.9,3.4,2,6.94
Maxime Dupé,"Toulouse,",", GK",15,1350,-,-,-,-,-,73.5,0.1,1,6.94
Jordan Siebatcheu,"Union Berlin,",", FW",12(1),852,3,3,1,-,1.6,51.9,4.4,2,6.94
Wissam Ben Yedder,"Monaco,",", AM(C),FW",11(2),814,6,2,1,-,1.7,79.8,0.3,1,6.94
Marcus Tavernier,"Bournemouth,",", M(CLR)",15,1289,2,4,1,-,1.7,76.5,0.8,2,6.94
Ritsu Doan,"Freiburg,",", AM(CLR),FW",13(2),1079,2,2,2,-,1.7,74,0.1,-,6.94
Álvaro Morata,"Atletico,",", AM(L),FW",12(2),853,5,1,3,-,2.1,61.9,2.2,1,6.94
Stanislav Lobotka,"Napoli,",", DMC",13(2),1217,1,1,1,-,0.2,94,0.4,-,6.93
Ludovic Blas,"Nantes,",", M(CLR),FW",12(3),1142,2,1,2,-,3,85.1,0.5,1,6.93
Malo Gusto,"Lyon,",", D(R),M(R)",14,1218,-,1,1,-,0.4,85.2,0.4,-,6.93
Jonas Hector,"FC Koln,",", D(L),M(CL)",13,1160,-,1,-,-,0.8,78.7,1.8,-,6.93
Karl Toko-Ekambi,"Lyon,",", AM(LR),FW",11(4),1029,4,1,1,-,1.9,84.4,0.9,2,6.93
Giacomo Bonaventura,"Fiorentina,",", M(CLR)",11(1),933,3,-,3,-,2.3,86.4,0.7,2,6.93
Tetê,"Lyon,",", AM(R)",11(2),879,5,2,2,-,1.9,82.1,0.2,2,6.93
Philip Billing,"Bournemouth,",", M(C)",13(2),1143,4,1,1,-,0.9,77,1.7,2,6.92
Jordi Masip,"Real Valladolid,",", GK",9,810,-,-,2,-,-,64.3,0.6,-,6.92
Guglielmo Vicario,"Empoli,",", GK",15,1350,-,-,1,-,-,66.8,0.4,-,6.92
Wojciech Szczesny,"Juventus,",", GK",9,763,-,-,-,-,-,67.1,0.1,-,6.92
Youssouf Fofana,"Monaco,",", DMC",14,1166,1,-,1,1,1.1,81.7,0.7,-,6.92
Youcef Atal,"Nice,",", D(R),M(R)",7(5),623,1,-,1,-,0.8,83.5,0.5,1,6.92
Christoph Baumgartner,"Hoffenheim,",", AM(CLR),FW",15,1157,4,2,3,-,2.6,72,1.3,1,6.92
Bremer,"Juventus,",", D(C)",13,1127,1,-,3,-,0.8,91,2.1,-,6.92
Filip Kostic,"Juventus,",", M(LR),FW",13(2),1072,1,5,1,-,0.9,80.5,0.1,1,6.91
Raphinha,"Barcelona,",", AM(LR),FW",6(7),570,2,2,1,-,2,79.4,0.2,1,6.91
Joachim Andersen,"Crystal Palace,",", D(C)",13,1170,1,-,2,-,0.6,81,2.5,-,6.91
Pascal Groß,"Brighton,",", M(CR),FW",14,1197,5,2,2,-,1.2,77.5,0.1,2,6.91
Cristiano Biraghi,"Fiorentina,",", D(L),M(L)",13(1),1143,-,2,-,-,0.9,78.3,0.6,-,6.91
Éder Militão,"Real Madrid,",", D(CR)",10(2),912,3,-,1,-,0.7,88.3,1.8,1,6.91
Solly March,"Brighton,",", M(CLR)",14,1219,-,2,1,-,1.9,76.7,1.4,-,6.91
Moisés Caicedo,"Brighton,",", DMC",14,1248,1,-,4,-,0.8,87.3,1.1,-,6.91
