Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Flavien Tait,Rennes,M(CLR),12,1047,1,0,2,0,1.1,85.7,0.3,0,6.71
Habib Diallo,Strasbourg,"AM(R),FW",13,1132,6,0,0,0,1.6,70.5,2.5,0,6.71
Hugo Lloris,Tottenham,GK,15,1350,0,0,0,0,0.0,77.5,0.3,0,6.71
Luca Pellegrini,Eintracht Frankfurt,"D(L),M(L)",7,559,0,0,1,0,1.6,72.7,0.6,0,6.71
Maxime Estève,Montpellier,D(C),8,808,0,0,3,0,0.3,79.8,1.3,2,6.71
Nico Elvedi,Borussia M.Gladbach,D(CLR),13,1126,2,0,0,0,0.5,92.4,1.6,0,6.71
Joe Gomez,Liverpool,D(CLR),9,885,0,0,2,0,0.3,85.0,2.7,0,6.71
Walace,Udinese,DMC,15,1285,0,0,2,0,0.9,84.3,0.4,0,6.71
Óscar De Marcos,Athletic Bilbao,"D(LR),M(CR)",13,1079,0,3,2,0,0.1,80.7,0.8,0,6.71
Alejandro Catena,Rayo Vallecano,D(C),14,1260,1,1,5,0,0.2,82.9,1.9,0,6.71
Brahim Díaz,AC Milan,AM(CLR),10,664,4,1,2,0,1.2,78.4,0.2,0,6.71
Kaoru Mitoma,Brighton,M(L),2,311,1,1,0,0,0.3,81.8,0.3,1,6.71
Mattéo Guendouzi,Marseille,M(C),12,1054,1,2,2,0,1.1,86.2,0.6,0,6.71
Djibril Sow,Eintracht Frankfurt,M(C),13,1169,2,0,4,0,0.7,86.5,0.9,0,6.71
Marc Roca,Leeds,DMC,14,1042,1,1,3,0,1.0,82.2,0.6,0,6.71
Antonio Raíllo,Mallorca,D(C),13,1170,1,0,5,0,0.3,86.4,1.5,0,6.71
Mathias Autret,Auxerre,M(CLR),11,869,2,2,0,0,1.4,82.1,0.2,0,6.71
Lucas Robertone,Almeria,AM(C),13,1026,1,1,3,0,1.1,83.4,0.5,1,6.71
Ivan Perisic,Tottenham,"M(CLR),FW",9,833,0,4,2,0,0.7,74.6,0.5,1,6.7
Kiernan Dewsbury-Hall,Leicester,M(C),14,1139,1,2,1,0,0.7,78.7,0.7,1,6.7
Danny Welbeck,Brighton,"AM(CLR),FW",11,998,0,2,0,0,2.0,82.9,1.8,1,6.7
Yeremy Pino,Villarreal,AM(LR),9,700,1,0,2,0,1.0,80.2,0.7,0,6.7
Christian Günter,Freiburg,"D(L),M(L)",15,1316,0,1,3,0,1.3,76.6,0.3,0,6.7
Santiago Bueno,Girona,D(C),14,1260,0,1,2,0,0.6,87.2,2.6,0,6.7
Rolando Mandragora,Fiorentina,DMC,10,870,1,1,4,0,1.7,86.5,0.9,0,6.7
Kevin Stöger,Bochum,M(CL),13,1205,1,1,1,0,1.4,74.9,0.4,1,6.7
Amadou Onana,Everton,DMC,12,1038,0,1,4,0,1.1,80.8,1.7,0,6.7
Julien Laporte,Lorient,D(C),15,1350,0,0,1,0,0.4,86.3,1.8,0,6.7
Aaron Ramsey,Nice,M(CLR),5,574,1,0,0,0,0.8,87.8,0.3,1,6.7
Elye Wahi,Montpellier,"AM(L),FW",14,1175,6,1,4,0,1.9,68.0,0.8,1,6.7
Nicolas Pallois,Nantes,D(C),14,1190,0,0,1,1,0.2,85.4,1.4,1,6.7
